id,site_code,year,month,day,gpp,npp,nep,ra,rh,cf,cw,cr,cveg,csom,af,aw,ar,tveg,tsoil,swc,create_time
185105,DHF,2023,6,16,0.9625752285741505,0.3573551018596409,0.2005339875543579,0.6052201267145095,0.15682111430528303,278.8153071482627,8824.098541257099,323.26161238690867,9426.17546079227,7945.797395826657,0.17867590638711242,0.08934375675496964,0.08933543871755886,155.58404607551552,251.24401685740852,,28/7/2023 01:01:29
185106,DHF,2023,6,17,0.9824639644806877,0.3647387753999086,0.20559492078603703,0.6177251890807791,0.1591438546138716,278.89223784440986,8824.179060915314,323.2955287898428,9426.366827549566,7945.80521749921,0.18236770917769368,0.09118977806348558,0.09118128815872936,155.55537115544712,247.57735268271028,,28/7/2023 01:01:29
185107,DHF,2023,6,18,1.123573248297136,0.41712545749463,0.24992406392482094,0.706447790802506,0.16720139356980904,278.9728322698177,8824.261426514317,323.3312852276881,9426.565544011823,7945.813024448308,0.20856080914234532,0.10428717882232252,0.10427746952996214,155.52527987523553,235.6464665438424,,28/7/2023 01:01:29
185108,DHF,2023,6,19,1.22622069881909,0.4552332220079984,0.2737827558838823,0.7709874768110917,0.18145046612411608,279.0795903846931,8824.356889431714,323.3801317169244,9426.816611533332,7945.820779792901,0.2276145160276806,0.11381465114730228,0.11380405483301549,155.48501416000113,217.14061713954027,,28/7/2023 01:01:29
185109,DHF,2023,6,20,1.0573768888101516,0.3925501244868926,0.20076557256025504,0.664826764323259,0.19178455192663754,279.2053632483101,8824.461879725972,323.43849641736284,9427.105739391644,7945.828443066104,0.1962732557337829,0.09814300300675502,0.09813386574635466,155.43737220346466,205.43803137309294,,28/7/2023 01:01:29
185110,DHF,2023,6,21,1.2337898486826941,0.4580432614108466,0.2819255658273252,0.7757465872718475,0.17611769558352144,279.2997489546321,8824.551198267098,323.48118092283926,9427.33212814457,7945.836037550194,0.2290195227973465,0.11451720016807587,0.11450653844542424,155.40196466299943,223.70958808801512,,28/7/2023 01:01:29
185111,DHF,2023,6,22,1.0429489302340724,0.38719375913120113,0.228102843600349,0.6557551711028713,0.15909091553085214,279.4268464848099,8824.656890916069,323.5402307833066,9427.623968184185,7945.843728973605,0.19359509770584843,0.09680383700369741,0.0967948244216553,155.35386131467476,247.65019734975346,,28/7/2023 01:01:29
185112,DHF,2023,6,23,1.0570482255681195,0.3924281085832549,0.23457123184986228,0.6646201169848647,0.1578568767333926,279.5184732094982,8824.744870096181,323.58155880641283,9427.844902112092,7945.851528274982,0.1962122483434794,0.09811249733002586,0.09810336290974964,155.3195646532754,249.58624914332728,,28/7/2023 01:01:29
185113,DHF,2023,6,24,1.1506045168337333,0.42716078921161177,0.26569320677380726,0.7234437276221216,0.16146758243780449,279.61268364842334,8824.834157848642,323.62418828285047,9428.071029779916,7945.85933547265,0.21357842881839323,0.10679615163735069,0.10678620875586785,155.28428059650665,244.005260415102,,28/7/2023 01:01:29
185114,DHF,2023,6,25,1.0410994471529935,0.3865071403660312,0.22351997632689485,0.6545923067869623,0.16298716403913632,279.7242258885742,8824.93212916612,323.6754932968601,9428.331848351554,7945.86711945994,0.19325179148307278,0.09663217274140044,0.09662317614155795,155.24228848409388,241.73010564458713,,28/7/2023 01:01:29
185115,DHF,2023,6,26,1.179760103281539,0.4379847718527051,0.2720604023268973,0.7417753314288339,0.16592436952580783,279.81540078742415,8825.019936406732,323.71662648267227,9428.551963676828,7945.874893375589,0.21899037032713764,0.10950229817667075,0.10949210334889674,155.20821783960025,237.45059886709086,,28/7/2023 01:01:29
185116,DHF,2023,6,27,1.1551263208736688,0.42883950449049335,0.24499368033176872,0.7262868163831755,0.18384582415872464,279.9322809935975,8825.120613684972,323.7706215439373,9428.823516222508,7945.882647911475,0.2144177787324122,0.10721585385723427,0.10720587190084689,155.16419988380304,214.3030538800293,,28/7/2023 01:01:29
185117,DHF,2023,6,28,0.1514342039992185,0.056219798503785876,-0.098138317,0.09521440549543263,0.15435811520441192,280.0445459562813,8825.219004418215,323.8223211169972,9429.085871491494,7945.890286021889,0.02810964052924088,0.01405573329217083,0.014054424682374167,155.1219955648088,255.23930119197055,,28/7/2023 01:01:29
185118,DHF,2023,6,29,0.23243039682865485,0.08628955500653869,-0.075360859,0.14614084182211617,0.16165041400022365,279.9704618130606,8825.224234932502,323.7808603796134,9428.975557125175,7945.898112206736,0.04314438040005822,0.021573591570064703,0.021571583036415768,155.15198497389147,243.72571846918873,,28/7/2023 01:01:29
185119,DHF,2023,6,30,0.21116369396344783,0.07839431259533287,-0.107016479,0.13276938136811497,0.1854107918072354,279.9114394444772,8825.236983299837,323.7469239084925,9428.895346652807,7945.905891537139,0.03919679552824,0.019599670912887838,0.019597846154205036,155.17614909927087,212.49209596548604,,28/7/2023 01:01:29
185120,DHF,2023,7,1,0.23619118941933967,0.08768574553733795,-0.100474407,0.14850544388200174,0.18816015303462377,279.8484910294496,8825.247757733767,323.7110195184598,9428.807268281676,7945.913516720503,0.04384246924021036,0.02192265866472262,0.02192061763240497,155.20184399431741,209.38457296539718,,28/7/2023 01:01:29
185121,DHF,2023,7,2,0.9784635451649057,0.36325362368434844,0.16185933711019468,0.6152099214805573,0.20139428657415376,279.79021125925334,8825.260855144674,323.67744405525013,9428.728510459177,7945.92112100073,0.18162514015455908,0.09081846943257829,0.09081001409721107,155.22573760471101,195.62265608899224,,28/7/2023 01:01:29
185122,DHF,2023,7,3,1.1610340477201353,0.4310327422409652,0.26278695294663984,0.7300013054791701,0.16824578929432538,279.8697354274102,8825.342848353252,323.7127637445855,9428.925347525246,7945.928635744371,0.21551438751440155,0.10776419386711314,0.10775416085945053,155.1961915140038,234.1602818230518,,28/7/2023 01:01:29
